,Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,Cost Matrix(Risk)
664,>= 200 DM ,6,critical account,education,1047,<100 DM,1<= < 4 years,2,female:divorced/separated/married,none,4,savings agreement/life insurance,50,none,own,1,unskilled - resident,1,none,yes,Good Risk
665,no checking account,24,critical account,others,6314,<100 DM,unemployed,4,male:single,co-applicant,2,unknown / no property,27,bank,own,2,management/ highly qualified employee,1,yes,yes,Good Risk
666,0 <= <200 DM,30,all credits at this bank paid back duly,furniture/equipment,3496,>= 1000 DM,1<= < 4 years,4,male:single,none,2,car or other,34,store,own,1,skilled employee / official,2,yes,yes,Good Risk
667,no checking account,48,all credits at this bank paid back duly,business,3609,<100 DM,1<= < 4 years,1,female:divorced/separated/married,none,1,real estate,27,store,own,1,skilled employee / official,1,none,yes,Good Risk
668,<0 DM,12,critical account,car (new),4843,<100 DM,>=7 years,3,male:single,co-applicant,4,savings agreement/life insurance,43,none,rent,2,skilled employee / official,1,yes,yes,Bad Risk
669,>= 200 DM ,30,critical account,radio/television,3017,<100 DM,>=7 years,4,male:single,none,4,savings agreement/life insurance,47,none,own,1,skilled employee / official,1,none,yes,Good Risk
670,no checking account,24,critical account,business,4139,100 <= <500 DM,1<= < 4 years,3,male:single,none,3,savings agreement/life insurance,27,none,own,2,unskilled - resident,1,yes,yes,Good Risk
671,no checking account,36,existing credits paid back duly till now,business,5742,100 <= <500 DM,4<= <7 years,2,male:single,none,2,car or other,31,none,own,2,skilled employee / official,1,yes,yes,Good Risk
672,no checking account,60,existing credits paid back duly till now,car (new),10366,<100 DM,>=7 years,2,male:single,none,4,savings agreement/life insurance,42,none,own,1,management/ highly qualified employee,1,yes,yes,Good Risk
673,no checking account,6,critical account,car (new),2080,500 <= < 1000 DM,1<= < 4 years,1,male:married/widowed,none,2,car or other,24,none,own,1,skilled employee / official,1,none,yes,Good Risk
674,no checking account,21,delay in paying off,business,2580,500 <= < 1000 DM,<1 years,4,male:single,none,2,real estate,41,bank,own,1,unskilled - resident,2,none,yes,Bad Risk
675,no checking account,30,critical account,radio/television,4530,<100 DM,4<= <7 years,4,female:divorced/separated/married,none,4,car or other,26,none,rent,1,management/ highly qualified employee,1,yes,yes,Good Risk
676,no checking account,24,critical account,furniture/equipment,5150,<100 DM,>=7 years,4,male:single,none,4,car or other,33,none,own,1,skilled employee / official,1,yes,yes,Good Risk
677,0 <= <200 DM,72,existing credits paid back duly till now,radio/television,5595,100 <= <500 DM,1<= < 4 years,2,male:married/widowed,none,2,car or other,24,none,own,1,skilled employee / official,1,none,yes,Bad Risk
678,<0 DM,24,existing credits paid back duly till now,radio/television,2384,<100 DM,>=7 years,4,male:single,none,4,real estate,64,bank,rent,1,unskilled - resident,1,none,yes,Good Risk
679,no checking account,18,existing credits paid back duly till now,radio/television,1453,<100 DM,<1 years,3,female:divorced/separated/married,none,1,real estate,26,none,own,1,skilled employee / official,1,none,yes,Good Risk
680,no checking account,6,existing credits paid back duly till now,education,1538,<100 DM,<1 years,1,female:divorced/separated/married,none,2,unknown / no property,56,none,own,1,skilled employee / official,1,none,yes,Good Risk
681,no checking account,12,existing credits paid back duly till now,radio/television,2279,no savings account,1<= < 4 years,4,male:single,none,4,unknown / no property,37,none,for free,1,skilled employee / official,1,yes,yes,Good Risk
682,no checking account,15,delay in paying off,radio/television,1478,<100 DM,1<= < 4 years,4,male:married/widowed,none,3,real estate,33,bank,own,2,skilled employee / official,1,none,yes,Good Risk
683,no checking account,24,critical account,radio/television,5103,<100 DM,<1 years,3,male:married/widowed,none,3,unknown / no property,47,none,for free,3,skilled employee / official,1,yes,yes,Good Risk
684,0 <= <200 DM,36,delay in paying off,business,9857,100 <= <500 DM,4<= <7 years,1,male:single,none,3,savings agreement/life insurance,31,none,own,2,unskilled - resident,2,yes,yes,Good Risk
685,no checking account,60,existing credits paid back duly till now,car (new),6527,no savings account,1<= < 4 years,4,male:single,none,4,unknown / no property,34,none,for free,1,skilled employee / official,2,yes,yes,Good Risk
686,>= 200 DM ,10,critical account,radio/television,1347,no savings account,4<= <7 years,4,male:single,none,2,savings agreement/life insurance,27,none,own,2,skilled employee / official,1,yes,yes,Good Risk
687,0 <= <200 DM,36,delay in paying off,car (new),2862,100 <= <500 DM,>=7 years,4,male:single,none,3,unknown / no property,30,none,for free,1,skilled employee / official,1,none,yes,Good Risk
688,no checking account,9,existing credits paid back duly till now,radio/television,2753,100 <= <500 DM,>=7 years,3,male:single,co-applicant,4,car or other,35,none,own,1,skilled employee / official,1,yes,yes,Good Risk
689,<0 DM,12,existing credits paid back duly till now,car (new),3651,>= 1000 DM,1<= < 4 years,1,male:single,none,3,savings agreement/life insurance,31,none,own,1,skilled employee / official,2,none,yes,Good Risk
690,<0 DM,15,critical account,furniture/equipment,975,<100 DM,1<= < 4 years,2,male:divorced/separated,none,3,savings agreement/life insurance,25,none,own,2,skilled employee / official,1,none,yes,Good Risk
691,0 <= <200 DM,15,existing credits paid back duly till now,repairs,2631,100 <= <500 DM,1<= < 4 years,3,female:divorced/separated/married,none,2,real estate,25,none,own,1,unskilled - resident,1,none,yes,Good Risk
692,0 <= <200 DM,24,existing credits paid back duly till now,radio/television,2896,100 <= <500 DM,<1 years,2,male:single,none,1,car or other,29,none,own,1,skilled employee / official,1,none,yes,Good Risk
693,<0 DM,6,critical account,car (new),4716,no savings account,<1 years,1,male:single,none,3,real estate,44,none,own,2,unskilled - resident,2,none,yes,Good Risk
694,no checking account,24,existing credits paid back duly till now,radio/television,2284,<100 DM,4<= <7 years,4,male:single,none,2,car or other,28,none,own,1,skilled employee / official,1,yes,yes,Good Risk
695,no checking account,6,existing credits paid back duly till now,car (used),1236,500 <= < 1000 DM,1<= < 4 years,2,male:single,none,4,savings agreement/life insurance,50,none,rent,1,skilled employee / official,1,none,yes,Good Risk
696,0 <= <200 DM,12,existing credits paid back duly till now,radio/television,1103,<100 DM,4<= <7 years,4,male:single,guarantor,3,real estate,29,none,own,2,skilled employee / official,1,none,no,Good Risk
697,no checking account,12,critical account,car (new),926,<100 DM,unemployed,1,female:divorced/separated/married,none,2,savings agreement/life insurance,38,none,own,1,unemployed/ unskilled  - non-resident,1,none,yes,Good Risk
698,no checking account,18,critical account,radio/television,1800,<100 DM,1<= < 4 years,4,male:single,none,2,car or other,24,none,own,2,skilled employee / official,1,none,yes,Good Risk
699,>= 200 DM ,15,existing credits paid back duly till now,education,1905,<100 DM,>=7 years,4,male:single,none,4,car or other,40,none,rent,1,management/ highly qualified employee,1,yes,yes,Good Risk
700,no checking account,12,existing credits paid back duly till now,furniture/equipment,1123,500 <= < 1000 DM,1<= < 4 years,4,female:divorced/separated/married,none,4,car or other,29,none,rent,1,unskilled - resident,1,none,yes,Bad Risk
701,<0 DM,48,critical account,car (used),6331,<100 DM,>=7 years,4,male:single,none,4,unknown / no property,46,none,for free,2,skilled employee / official,1,yes,yes,Bad Risk
702,>= 200 DM ,24,existing credits paid back duly till now,radio/television,1377,100 <= <500 DM,>=7 years,4,female:divorced/separated/married,none,2,unknown / no property,47,none,for free,1,skilled employee / official,1,yes,yes,Good Risk
703,0 <= <200 DM,30,delay in paying off,business,2503,100 <= <500 DM,>=7 years,4,male:single,none,2,savings agreement/life insurance,41,store,own,2,skilled employee / official,1,none,yes,Good Risk
704,0 <= <200 DM,27,existing credits paid back duly till now,business,2528,<100 DM,<1 years,4,female:divorced/separated/married,none,1,savings agreement/life insurance,32,none,own,1,skilled employee / official,2,yes,yes,Good Risk
705,no checking account,15,existing credits paid back duly till now,car (new),5324,500 <= < 1000 DM,>=7 years,1,female:divorced/separated/married,none,4,unknown / no property,35,none,for free,1,skilled employee / official,1,none,yes,Good Risk
706,0 <= <200 DM,48,existing credits paid back duly till now,car (new),6560,100 <= <500 DM,4<= <7 years,3,male:single,none,2,savings agreement/life insurance,24,none,own,1,skilled employee / official,1,none,yes,Bad Risk
707,0 <= <200 DM,12,no credits taken,furniture/equipment,2969,<100 DM,<1 years,4,female:divorced/separated/married,none,3,savings agreement/life insurance,25,none,rent,2,skilled employee / official,1,none,yes,Bad Risk
708,0 <= <200 DM,9,existing credits paid back duly till now,radio/television,1206,<100 DM,>=7 years,4,female:divorced/separated/married,none,4,real estate,25,none,own,1,skilled employee / official,1,none,yes,Good Risk
709,0 <= <200 DM,9,existing credits paid back duly till now,radio/television,2118,<100 DM,1<= < 4 years,2,male:single,none,2,real estate,37,none,own,1,unskilled - resident,2,none,yes,Good Risk
710,no checking account,18,critical account,radio/television,629,500 <= < 1000 DM,>=7 years,4,male:single,none,3,savings agreement/life insurance,32,bank,own,2,management/ highly qualified employee,1,yes,yes,Good Risk
711,<0 DM,6,all credits at this bank paid back duly,education,1198,<100 DM,>=7 years,4,female:divorced/separated/married,none,4,unknown / no property,35,none,for free,1,skilled employee / official,1,none,yes,Bad Risk
712,no checking account,21,existing credits paid back duly till now,car (used),2476,no savings account,>=7 years,4,male:single,none,4,real estate,46,none,own,1,management/ highly qualified employee,1,yes,yes,Good Risk
713,<0 DM,9,critical account,radio/television,1138,<100 DM,1<= < 4 years,4,male:single,none,4,real estate,25,none,own,2,unskilled - resident,1,none,yes,Good Risk
714,0 <= <200 DM,60,existing credits paid back duly till now,car (new),14027,<100 DM,4<= <7 years,4,male:single,none,2,unknown / no property,27,none,own,1,management/ highly qualified employee,1,yes,yes,Bad Risk
715,no checking account,30,critical account,car (used),7596,no savings account,>=7 years,1,male:single,none,4,car or other,63,none,own,2,skilled employee / official,1,none,yes,Good Risk
716,no checking account,30,critical account,radio/television,3077,no savings account,>=7 years,3,male:single,none,2,car or other,40,none,own,2,skilled employee / official,2,yes,yes,Good Risk
717,no checking account,18,existing credits paid back duly till now,radio/television,1505,<100 DM,1<= < 4 years,4,male:single,none,2,unknown / no property,32,none,for free,1,management/ highly qualified employee,1,yes,yes,Good Risk
718,>= 200 DM ,24,critical account,radio/television,3148,no savings account,1<= < 4 years,3,male:single,none,2,car or other,31,none,own,2,skilled employee / official,1,yes,yes,Good Risk
719,0 <= <200 DM,20,no credits taken,car (used),6148,100 <= <500 DM,>=7 years,3,male:married/widowed,none,4,car or other,31,bank,own,2,skilled employee / official,1,yes,yes,Good Risk
720,>= 200 DM ,9,no credits taken,radio/television,1337,<100 DM,<1 years,4,male:single,none,2,car or other,34,none,own,2,management/ highly qualified employee,1,yes,yes,Bad Risk
721,0 <= <200 DM,6,all credits at this bank paid back duly,education,433,>= 1000 DM,<1 years,4,female:divorced/separated/married,none,2,savings agreement/life insurance,24,bank,rent,1,skilled employee / official,2,none,yes,Bad Risk
722,<0 DM,12,existing credits paid back duly till now,car (new),1228,<100 DM,1<= < 4 years,4,female:divorced/separated/married,none,2,real estate,24,none,own,1,unskilled - resident,1,none,yes,Bad Risk
723,0 <= <200 DM,9,existing credits paid back duly till now,radio/television,790,500 <= < 1000 DM,1<= < 4 years,4,female:divorced/separated/married,none,3,real estate,66,none,own,1,unskilled - resident,1,none,yes,Good Risk
724,no checking account,27,existing credits paid back duly till now,car (new),2570,<100 DM,1<= < 4 years,3,female:divorced/separated/married,none,3,real estate,21,none,rent,1,skilled employee / official,1,none,yes,Bad Risk
725,no checking account,6,critical account,car (new),250,>= 1000 DM,1<= < 4 years,2,female:divorced/separated/married,none,2,real estate,41,bank,own,2,unskilled - resident,1,none,yes,Good Risk
726,no checking account,15,critical account,radio/television,1316,500 <= < 1000 DM,1<= < 4 years,2,male:married/widowed,none,2,savings agreement/life insurance,47,none,own,2,unskilled - resident,1,none,yes,Good Risk
727,<0 DM,18,existing credits paid back duly till now,radio/television,1882,<100 DM,1<= < 4 years,4,female:divorced/separated/married,none,4,car or other,25,bank,rent,2,skilled employee / official,1,none,yes,Bad Risk
728,0 <= <200 DM,48,all credits at this bank paid back duly,business,6416,<100 DM,>=7 years,4,female:divorced/separated/married,none,3,unknown / no property,59,none,rent,1,skilled employee / official,1,none,yes,Bad Risk
729,>= 200 DM ,24,critical account,business,1275,>= 1000 DM,1<= < 4 years,2,male:divorced/separated,none,4,real estate,36,none,own,2,skilled employee / official,1,yes,yes,Good Risk
730,0 <= <200 DM,24,delay in paying off,radio/television,6403,<100 DM,<1 years,1,male:single,none,2,car or other,33,none,own,1,skilled employee / official,1,none,yes,Good Risk
731,<0 DM,24,existing credits paid back duly till now,radio/television,1987,<100 DM,1<= < 4 years,2,male:single,none,4,real estate,21,none,rent,1,unskilled - resident,2,none,yes,Bad Risk
732,0 <= <200 DM,8,existing credits paid back duly till now,radio/television,760,<100 DM,4<= <7 years,4,female:divorced/separated/married,guarantor,2,real estate,44,none,own,1,unskilled - resident,1,none,yes,Good Risk
